question,type,database
What is the average IMDb rating of movies based on video games?,Simple Retrieval Queries,recommendations
List the first 3 movies that have a cult following.,Simple Retrieval Queries,recommendations
Which directors have influenced the work of other filmmakers?,Simple Retrieval Queries,recommendations
What is the name of the movie with the highest IMDb rating that is a documentary?,Simple Retrieval Queries,recommendations
List the actors who have starred in movies that have been adapted into musicals.,Simple Retrieval Queries,recommendations
What is the average budget of horror movies?,Simple Retrieval Queries,recommendations
Which movies have been filmed in exotic locations?,Simple Retrieval Queries,recommendations
List the first 3 movies with the most impressive special effects.,Simple Retrieval Queries,recommendations
What is the name of the director who is known for their use of practical effects?,Simple Retrieval Queries,recommendations
Which actors have starred in movies that have had a significant cultural impact?,Simple Retrieval Queries,recommendations
What movies has Anthony Stacchi directed?,Complex Retrieval Queries,recommendations
"What is the runtime of the movie ""Boxtrolls, The""?",Complex Retrieval Queries,recommendations
"What is the IMDB rating of the movie with title ""Open Season""?",Complex Retrieval Queries,recommendations
"What genre is the movie ""Boxtrolls, The""?",Complex Retrieval Queries,recommendations
"List the movies directed by the director of the movie ""Open Season"".",Complex Retrieval Queries,recommendations
What is the average rating of movies directed by Anthony Stacchi?,Complex Retrieval Queries,recommendations
"What other movies are in the same genre as ""Boxtrolls, The""?",Complex Retrieval Queries,recommendations
Which movie directed by Anthony Stacchi has the highest IMDB rating?,Complex Retrieval Queries,recommendations
What is the total revenue of movies directed by Anthony Stacchi?,Complex Retrieval Queries,recommendations
"List the movies released in the same year as ""Boxtrolls, The"".",Complex Retrieval Queries,recommendations
List the directors who have directed movies with an IMDB rating higher than 8.0.,Complex Retrieval Queries,recommendations
"What is the average budget of movies in the ""Adventure"" genre?",Complex Retrieval Queries,recommendations
Which movie has the most actors?,Complex Retrieval Queries,recommendations
What is the average runtime of movies released in 2014?,Complex Retrieval Queries,recommendations
Which director has directed the most movies?,Complex Retrieval Queries,recommendations
List the actors who have acted in movies directed by Anthony Stacchi.,Complex Retrieval Queries,recommendations
Which genre has the highest average IMDB rating?,Complex Retrieval Queries,recommendations
What is the average budget of movies released before 2000?,Complex Retrieval Queries,recommendations
"List the actors who have acted in both ""Boxtrolls, The"" and ""Open Season"".",Complex Retrieval Queries,recommendations
What is the total revenue of movies released in the USA?,Complex Retrieval Queries,recommendations
Which actor has acted in the most movies with an IMDB rating higher than 8.0?,Complex Retrieval Queries,recommendations
List the movies that have a runtime longer than 2 hours and a budget greater than 100 million.,Complex Retrieval Queries,recommendations
"What is the average IMDB rating of movies in the ""Children"" genre?",Complex Retrieval Queries,recommendations
Which director has the highest average movie revenue?,Complex Retrieval Queries,recommendations
List the movies that have been rated by more than 100 users.,Complex Retrieval Queries,recommendations
"What is the average rating given by users to movies in the ""Adventure"" genre?",Complex Retrieval Queries,recommendations
Which actor has the highest average movie rating?,Complex Retrieval Queries,recommendations
List the movies that have won an award and have an IMDB rating higher than 8.5.,Complex Retrieval Queries,recommendations
What is the total revenue of movies directed by directors born in the USA?,Complex Retrieval Queries,recommendations
Which genre has the most movies with a budget greater than 200 million?,Complex Retrieval Queries,recommendations
List the actors who have acted in movies directed by directors born before 1950.,Complex Retrieval Queries,recommendations
What is the average runtime of movies that have won an Oscar?,Complex Retrieval Queries,recommendations
Which director has directed movies in the most diverse genres?,Complex Retrieval Queries,recommendations
List the movies that have been released in both the USA and Canada.,Complex Retrieval Queries,recommendations
What is the average budget of movies that have won the Palme d'Or?,Complex Retrieval Queries,recommendations
Which actor has the highest average movie revenue?,Complex Retrieval Queries,recommendations
List the movies that have a runtime shorter than 90 minutes and an IMDB rating higher than 8.0.,Complex Retrieval Queries,recommendations
What is the average IMDB rating of movies based on books?,Complex Retrieval Queries,recommendations
Which director has won the most awards for their movies?,Complex Retrieval Queries,recommendations
List the movies that have been nominated for an Oscar for Best Picture and have a budget greater than 150 million.,Complex Retrieval Queries,recommendations
What is the average rating given by users to movies directed by Steven Spielberg?,Complex Retrieval Queries,recommendations
Which genre has the most movies with a runtime longer than 3 hours?,Complex Retrieval Queries,recommendations
List the actors who have acted in movies that have won an Oscar for Best Original Screenplay.,Complex Retrieval Queries,recommendations
What is the total revenue of movies released in the 21st century?,Complex Retrieval Queries,recommendations
Which director has the highest average movie IMDB votes?,Complex Retrieval Queries,recommendations
List the movies that have been released in more than 10 countries.,Complex Retrieval Queries,recommendations
What is the average budget of movies that have been nominated for the Golden Lion?,Complex Retrieval Queries,recommendations
Which actor has acted in the most movies with a budget greater than 250 million?,Complex Retrieval Queries,recommendations
List the movies that have a runtime between 100 and 120 minutes and have won an award.,Complex Retrieval Queries,recommendations
What is the average IMDB rating of movies directed by female directors?,Complex Retrieval Queries,recommendations
Which genre has the most movies with a revenue greater than 500 million?,Complex Retrieval Queries,recommendations
List the actors who have acted in movies with a screenplay written by Quentin Tarantino.,Complex Retrieval Queries,recommendations
What is the total revenue of movies released in the year 2000?,Complex Retrieval Queries,recommendations
Which director has the most movies with an IMDB rating higher than 7.5?,Complex Retrieval Queries,recommendations
List the movies that have been filmed in New York City and have a runtime longer than 2.5 hours.,Complex Retrieval Queries,recommendations
What is the average budget of movies that have won the Academy Award for Best Picture?,Complex Retrieval Queries,recommendations
Which actor has acted in movies directed by both Martin Scorsese and Christopher Nolan?,Complex Retrieval Queries,recommendations
List the movies that have been released in 3D and have a revenue greater than 1 billion.,Complex Retrieval Queries,recommendations
What is the average IMDB rating of movies based on true stories?,Complex Retrieval Queries,recommendations
Which director has the most movies with a budget greater than 300 million?,Complex Retrieval Queries,recommendations
List the actors who have won both an Oscar and a Golden Globe award.,Complex Retrieval Queries,recommendations
What is the total revenue of movies released by Warner Bros. Pictures?,Complex Retrieval Queries,recommendations
Which genre has the most movies with a runtime shorter than 1 hour?,Complex Retrieval Queries,recommendations
List the movies that have been filmed in black and white and have won the Cannes Film Festival's Palme d'Or.,Complex Retrieval Queries,recommendations
What is the average budget of movies that have been nominated for Best Picture at the Academy Awards?,Complex Retrieval Queries,recommendations
Which actor has the most movies with a rating higher than 8.0 on IMDB?,Complex Retrieval Queries,recommendations
List the movies that have been released during the summer blockbuster season and have a revenue greater than 750 million.,Complex Retrieval Queries,recommendations
What is the average IMDB rating of movies that have won the Golden Globe Award for Best Motion Picture - Musical or Comedy?,Complex Retrieval Queries,recommendations
Which director has the most movies with a budget greater than 400 million?,Complex Retrieval Queries,recommendations
List the actors who have acted in movies that have been nominated for the Academy Award for Best Adapted Screenplay.,Complex Retrieval Queries,recommendations
What is the total revenue of movies released by Walt Disney Pictures?,Complex Retrieval Queries,recommendations
Which genre has the most movies with a runtime between 90 and 110 minutes?,Complex Retrieval Queries,recommendations
List the movies that have been filmed in IMAX and have a revenue greater than 500 million.,Complex Retrieval Queries,recommendations
What is the average budget of movies that have won the Academy Award for Best Animated Feature?,Complex Retrieval Queries,recommendations
Which actor has acted in movies directed by both Steven Spielberg and George Lucas?,Complex Retrieval Queries,recommendations
List the movies that have been released in both 2D and 3D and have a revenue greater than 1 billion.,Complex Retrieval Queries,recommendations
What is the average IMDB rating of movies that have won the Academy Award for Best Foreign Language Film?,Complex Retrieval Queries,recommendations
Which director has the most movies with a budget greater than 500 million?,Complex Retrieval Queries,recommendations
List the actors who have acted in movies that have been nominated for the Academy Award for Best Original Song.,Complex Retrieval Queries,recommendations
What is the total revenue of movies released by Universal Pictures?,Complex Retrieval Queries,recommendations
Which genre has the most movies with a runtime longer than 150 minutes?,Complex Retrieval Queries,recommendations
List the movies that have been filmed in stop-motion animation and have won an Academy Award.,Complex Retrieval Queries,recommendations
What is the average budget of movies that have won the Golden Globe Award for Best Motion Picture - Drama?,Complex Retrieval Queries,recommendations
Which actor has acted in movies directed by both Quentin Tarantino and David Fincher?,Complex Retrieval Queries,recommendations
List the movies that have been released in Dolby Atmos and have a revenue greater than 800 million.,Complex Retrieval Queries,recommendations
What is the average IMDB rating of movies that have won the BAFTA Award for Best Film?,Complex Retrieval Queries,recommendations
Which director has the most movies with a budget greater than 600 million?,Complex Retrieval Queries,recommendations
List the actors who have acted in movies that have been nominated for the Academy Award for Best Visual Effects.,Complex Retrieval Queries,recommendations
What is the total revenue of movies released by Paramount Pictures?,Complex Retrieval Queries,recommendations
Which genre has the most movies with a runtime shorter than 80 minutes?,Complex Retrieval Queries,recommendations
List the movies that have been filmed in Technicolor and have won the Academy Award for Best Cinematography.,Complex Retrieval Queries,recommendations
What is the average budget of movies that have won the Screen Actors Guild Award for Outstanding Performance by a Cast in a Motion Picture?,Complex Retrieval Queries,recommendations
Which actor has acted in movies directed by both James Cameron and Peter Jackson?,Complex Retrieval Queries,recommendations
List the movies that have been released in 4DX and have a revenue greater than 900 million.,Complex Retrieval Queries,recommendations
What is the average IMDB rating of movies that have won the Academy Award for Best Original Screenplay?,Complex Retrieval Queries,recommendations
Which director has the most movies with a budget greater than 700 million?,Complex Retrieval Queries,recommendations
List the actors who have acted in movies that have been nominated for the Academy Award for Best Film Editing.,Complex Retrieval Queries,recommendations
What is the total revenue of movies released by 20th Century Fox?,Complex Retrieval Queries,recommendations
Which genre has the most movies with a runtime between 110 and 130 minutes?,Complex Retrieval Queries,recommendations
List the movies that have been filmed in CinemaScope and have won the Academy Award for Best Production Design.,Complex Retrieval Queries,recommendations
"What is the average rating for the movie ""Toy Story""?",Simple Aggregation Queries,recommendations
What are the titles of the movies directed by Harold Lloyd?,Simple Aggregation Queries,recommendations
"List the names of the genres associated with the movie ""Toy Story"".",Simple Aggregation Queries,recommendations
Which movie has the highest revenue?,Simple Aggregation Queries,recommendations
What are the titles of the top 3 movies with the highest IMDb rating?,Simple Aggregation Queries,recommendations
List the actors who have also directed a movie.,Simple Aggregation Queries,recommendations
What are the names of the movies that have a runtime greater than 200 minutes?,Simple Aggregation Queries,recommendations
List the titles of the movies released between 1990 and 2000.,Simple Aggregation Queries,recommendations
What is the average IMDb rating of movies directed by Anthony Stacchi?,Simple Aggregation Queries,recommendations
"List the names of the users who rated the movie ""Toy Story"".",Simple Aggregation Queries,recommendations
"What is the average rating given by the user with userId ""1""?",Simple Aggregation Queries,recommendations
"List the titles of the movies released in the year the user with userId ""1"" was born.",Simple Aggregation Queries,recommendations
Which genre has the most movies associated with it?,Simple Aggregation Queries,recommendations
List the names of the actors born in France.,Simple Aggregation Queries,recommendations
"What is the average runtime of movies in the ""Children"" genre?",Simple Aggregation Queries,recommendations
List the titles of the movies with an IMDb rating greater than 8.5.,Simple Aggregation Queries,recommendations
What is the average budget of movies released in the USA?,Simple Aggregation Queries,recommendations
Which actor has acted in the most movies?,Simple Aggregation Queries,recommendations
List the names of the directors born before 1900.,Simple Aggregation Queries,recommendations
What is the average IMDb rating of movies released in the 21st century?,Simple Aggregation Queries,recommendations
Which movie has the shortest runtime?,Simple Aggregation Queries,recommendations
List the titles of the movies with a revenue greater than 1 billion dollars.,Simple Aggregation Queries,recommendations
"What is the average number of votes for movies in the ""Animation"" genre?",Simple Aggregation Queries,recommendations
Which year had the most movies released?,Simple Aggregation Queries,recommendations
List the names of the actors who have died.,Simple Aggregation Queries,recommendations
What is the average age of directors at the time of their death?,Simple Aggregation Queries,recommendations
Which movie has won the most awards?,Simple Aggregation Queries,recommendations
What is the name of the movie with the highest budget?,Simple Aggregation Queries,recommendations
"Which movie was released on the same day as ""Toy Story""?",Simple Aggregation Queries,recommendations
List the actors who have acted in movies with a runtime greater than 3 hours.,Simple Aggregation Queries,recommendations
"What is the average rating for movies in the ""Comedy"" genre?",Simple Aggregation Queries,recommendations
Which director has the highest average IMDb rating for their movies?,Simple Aggregation Queries,recommendations
List the titles of the movies with a revenue less than their budget.,Simple Aggregation Queries,recommendations
What is the name of the oldest actor in the database?,Simple Aggregation Queries,recommendations
Which movie has the most languages?,Simple Aggregation Queries,recommendations
List the names of the directors who have also acted in a movie.,Simple Aggregation Queries,recommendations
Which genre has the highest average revenue?,Simple Aggregation Queries,recommendations
List the titles of the movies with an IMDb rating below 5.,Simple Aggregation Queries,recommendations
What is the name of the youngest director in the database?,Simple Aggregation Queries,recommendations
Which movie has the longest title?,Simple Aggregation Queries,recommendations
List the names of the actors who were born in the same country as Harold Lloyd.,Simple Aggregation Queries,recommendations
"What is the average budget for movies in the ""Action"" genre?",Simple Aggregation Queries,recommendations
Which director has the lowest average IMDb rating for their movies?,Simple Aggregation Queries,recommendations
"List the titles of the movies released in the same year as the user with userId ""1"" was born.",Simple Aggregation Queries,recommendations
What is the name of the movie with the lowest budget?,Simple Aggregation Queries,recommendations
Which movie has the fewest actors?,Simple Aggregation Queries,recommendations
List the names of the users who have rated the most movies.,Simple Aggregation Queries,recommendations
"What is the average rating given by users to movies in the ""Thriller"" genre?",Simple Aggregation Queries,recommendations
Which actor has the highest average rating for their movies?,Simple Aggregation Queries,recommendations
List the titles of the movies with a runtime between 90 and 120 minutes.,Simple Aggregation Queries,recommendations
"What is the name of the movie with the highest revenue in the ""Adventure"" genre?",Simple Aggregation Queries,recommendations
Which director has directed movies in the most genres?,Simple Aggregation Queries,recommendations
List the names of the actors who have acted in movies directed by Harold Lloyd.,Simple Aggregation Queries,recommendations
What is the average budget of movies released in the 1990s?,Simple Aggregation Queries,recommendations
Which movie has the most user ratings?,Simple Aggregation Queries,recommendations
List the names of the genres with an average IMDb rating greater than 8.,Simple Aggregation Queries,recommendations
What is the name of the movie with the lowest revenue?,Simple Aggregation Queries,recommendations
Which actor has the most unique roles?,Simple Aggregation Queries,recommendations
List the names of the directors born after 1950.,Simple Aggregation Queries,recommendations
"What is the average runtime of movies in the ""Drama"" genre?",Simple Aggregation Queries,recommendations
"Which movie has the most similar plot to ""Toy Story""?",Simple Aggregation Queries,recommendations
List the titles of the movies released between 2005 and 2015.,Simple Aggregation Queries,recommendations
"What is the name of the movie with the highest IMDb rating in the ""Comedy"" genre?",Simple Aggregation Queries,recommendations
Which actor has the lowest average rating for their movies?,Simple Aggregation Queries,recommendations
List the names of the users who have rated movies directed by Anthony Stacchi.,Simple Aggregation Queries,recommendations
"What is the average budget for movies in the ""Science Fiction"" genre?",Simple Aggregation Queries,recommendations
Which director has the most movies with a rating above 8?,Simple Aggregation Queries,recommendations
List the titles of the movies with a revenue greater than their budget by a factor of 10.,Simple Aggregation Queries,recommendations
What is the name of the movie with the most recent release date?,Simple Aggregation Queries,recommendations
Which actor has acted in both the highest and lowest rated movies?,Simple Aggregation Queries,recommendations
List the names of the directors who have won an award for their directing.,Simple Aggregation Queries,recommendations
What is the average runtime of movies with a budget greater than 100 million dollars?,Simple Aggregation Queries,recommendations
Which genre has the most movies with a rating above 8?,Simple Aggregation Queries,recommendations
"List the titles of the movies released in the same country as ""Toy Story"".",Simple Aggregation Queries,recommendations
What is the name of the movie with the oldest release date?,Simple Aggregation Queries,recommendations
Which actor has the biggest difference between their highest and lowest rated movie?,Simple Aggregation Queries,recommendations
List the names of the users who have rated movies in all genres.,Simple Aggregation Queries,recommendations
What is the average budget for movies released in the 21st century?,Simple Aggregation Queries,recommendations
Which director has the most collaborations with the same actor?,Simple Aggregation Queries,recommendations
List the titles of the movies with a revenue equal to their budget.,Simple Aggregation Queries,recommendations
"What is the average rating of the movie ""Toy Story""?",Pathfinding Queries,recommendations
"List the movies directed by the director of ""Toy Story"".",Pathfinding Queries,recommendations
What is the highest-rated movie in the database?,Pathfinding Queries,recommendations
"What is the average runtime of movies in the ""Adventure"" genre?",Pathfinding Queries,recommendations
List the top 5 highest-grossing movies.,Pathfinding Queries,recommendations
What is the average budget of movies released in 1995?,Pathfinding Queries,recommendations
What is the most common genre among movies released in 2014?,Pathfinding Queries,recommendations
"What is the average IMDB rating of movies directed by ""Anthony Stacchi""?",Pathfinding Queries,recommendations
"List the movies released in the year the user ""Omar Huffman"" was born.",Pathfinding Queries,recommendations
What is the shortest movie in the database?,Pathfinding Queries,recommendations
List the first 3 movies released after the year 2000 in descending order of release date.,Pathfinding Queries,recommendations
What is the total revenue of all movies in the database?,Pathfinding Queries,recommendations
Which actor has the highest average IMDB rating for their movies?,Pathfinding Queries,recommendations
List the directors who have directed movies in more than 3 genres.,Pathfinding Queries,recommendations
What is the longest movie released before 1950?,Pathfinding Queries,recommendations
Which country has produced the most movies in the database?,Pathfinding Queries,recommendations
List the actors who have acted in movies with a runtime longer than 3 hours.,Pathfinding Queries,recommendations
"What is the average budget of movies in the ""Comedy"" genre?",Pathfinding Queries,recommendations
Which director has directed the most movies with an IMDB rating above 8.0?,Pathfinding Queries,recommendations
List the movies released between 1990 and 2000 with a budget greater than 100 million dollars.,Pathfinding Queries,recommendations
"What is the average runtime of movies directed by ""Harold Lloyd""?",Pathfinding Queries,recommendations
Which actor has acted in movies with the highest combined revenue?,Pathfinding Queries,recommendations
"List the movies that share the same genre as ""Toy Story"".",Pathfinding Queries,recommendations
What is the most common language among movies in the database?,Pathfinding Queries,recommendations
Which director has the highest average IMDB rating for movies released after 2010?,Pathfinding Queries,recommendations
"List the actors who have acted in both ""Adventure"" and ""Comedy"" movies.",Pathfinding Queries,recommendations
"What is the average IMDB rating of movies released in the same year as ""Toy Story""?",Pathfinding Queries,recommendations
Which country has produced the most movies with an IMDB rating above 8.5?,Pathfinding Queries,recommendations
List the directors who have directed movies with a runtime longer than the average runtime of all movies.,Pathfinding Queries,recommendations
"What is the average budget of movies in the ""Action"" genre?",Pathfinding Queries,recommendations
Which actor has acted in the most movies with a budget greater than 200 million dollars?,Pathfinding Queries,recommendations
List the movies released in the 1980s with an IMDB rating below 5.0.,Pathfinding Queries,recommendations
"What is the average runtime of movies directed by the same director as ""Boxtrolls, The""?",Pathfinding Queries,recommendations
Which actor has acted in movies with the widest range of release years?,Pathfinding Queries,recommendations
List the movies that share at least two common genres.,Pathfinding Queries,recommendations
What is the most common language among movies with an IMDB rating above 8.0?,Pathfinding Queries,recommendations
Which director has the highest average gross revenue per movie?,Pathfinding Queries,recommendations
"List the actors who have acted in movies directed by ""Anthony Stacchi"".",Pathfinding Queries,recommendations
"What is the average IMDB rating of movies released in the same country as ""Toy Story""?",Pathfinding Queries,recommendations
Which country has produced the most movies with a budget greater than 200 million dollars?,Pathfinding Queries,recommendations
List the directors who have directed movies with a runtime shorter than the average runtime of all movies.,Pathfinding Queries,recommendations
"What is the average budget of movies in the ""Romance"" genre?",Pathfinding Queries,recommendations
Which actor has acted in the most movies with an IMDB rating below 5.0?,Pathfinding Queries,recommendations
List the movies released in the 2000s with an IMDB rating above 8.5.,Pathfinding Queries,recommendations
"What is the average runtime of movies directed by the same director as ""Open Season""?",Pathfinding Queries,recommendations
Which actor has the highest average IMDB rating for movies released after 2010?,Pathfinding Queries,recommendations
"List the movies that share at least three common genres with ""Toy Story"".",Pathfinding Queries,recommendations
What is the most common language among movies with a budget greater than 200 million dollars?,Pathfinding Queries,recommendations
Which director has the highest total gross revenue for all their movies?,Pathfinding Queries,recommendations
"List the actors who have acted in movies directed by ""Graham Annable"".",Pathfinding Queries,recommendations
"What is the average IMDB rating of movies released in the same country as ""Boxtrolls, The""?",Pathfinding Queries,recommendations
Which country has produced the most movies with a runtime longer than 2 hours?,Pathfinding Queries,recommendations
List the directors who have directed movies in at least 5 different genres.,Pathfinding Queries,recommendations
"What is the average budget of movies in the ""Thriller"" genre?",Pathfinding Queries,recommendations
Which actor has acted in the most movies with a runtime shorter than 90 minutes?,Pathfinding Queries,recommendations
List the movies released in the 1990s with an IMDB rating above 8.0.,Pathfinding Queries,recommendations
"What is the average runtime of movies directed by the same director as ""Toy Story 2""?",Pathfinding Queries,recommendations
Which actor has the highest average gross revenue per movie?,Pathfinding Queries,recommendations
"List the movies that share at least two common genres with ""Boxtrolls, The"".",Pathfinding Queries,recommendations
What is the most common language among movies with an IMDB rating below 5.0?,Pathfinding Queries,recommendations
Which director has the lowest average IMDB rating for all their movies?,Pathfinding Queries,recommendations
"List the actors who have acted in movies directed by ""Harold Lloyd"".",Pathfinding Queries,recommendations
"What is the average IMDB rating of movies released in the same year as ""Boxtrolls, The""?",Pathfinding Queries,recommendations
Which country has produced the most movies with a runtime shorter than 90 minutes?,Pathfinding Queries,recommendations
List the directors who have directed movies in all genres.,Pathfinding Queries,recommendations
"What is the average budget of movies in the ""Horror"" genre?",Pathfinding Queries,recommendations
Which actor has acted in the most movies with a budget lower than 10 million dollars?,Pathfinding Queries,recommendations
List the movies released in the 2010s with an IMDB rating below 5.0.,Pathfinding Queries,recommendations
"What is the average runtime of movies directed by the same director as ""Finding Nemo""?",Pathfinding Queries,recommendations
Which actor has the lowest average gross revenue per movie?,Pathfinding Queries,recommendations
"List the movies that share at least two common genres with ""Open Season"".",Pathfinding Queries,recommendations
What is the most common language among movies with a runtime longer than 3 hours?,Pathfinding Queries,recommendations
Which director has the highest average IMDB rating for movies with a budget greater than 200 million dollars?,Pathfinding Queries,recommendations
"List the actors who have acted in movies directed by ""Quentin Tarantino"".",Pathfinding Queries,recommendations
"What is the average IMDB rating of movies released in the same year as ""Open Season""?",Pathfinding Queries,recommendations
Which country has produced the most movies with a budget lower than 10 million dollars?,Pathfinding Queries,recommendations
List the directors who have directed both animated and live-action movies.,Pathfinding Queries,recommendations
"What is the average budget of movies in the ""Science Fiction"" genre?",Pathfinding Queries,recommendations
Which actor has acted in the most movies with a runtime longer than 3 hours?,Pathfinding Queries,recommendations
List the movies released in the 1980s with an IMDB rating above 8.0.,Pathfinding Queries,recommendations
"What is the average runtime of movies directed by the same director as ""The Shawshank Redemption""?",Pathfinding Queries,recommendations
Which actor has the highest total gross revenue for all their movies?,Pathfinding Queries,recommendations
"List the movies that share at least two common genres with ""Finding Nemo"".",Pathfinding Queries,recommendations
What is the most common language among movies with a budget lower than 10 million dollars?,Pathfinding Queries,recommendations
Which director has the lowest total gross revenue for all their movies?,Pathfinding Queries,recommendations
"List the actors who have acted in movies directed by ""Christopher Nolan"".",Pathfinding Queries,recommendations
"What is the average IMDB rating of movies released in the same year as ""Finding Nemo""?",Pathfinding Queries,recommendations
Which country has produced the most movies with a budget greater than 100 million dollars?,Pathfinding Queries,recommendations
List the directors who have directed movies in both English and a foreign language.,Pathfinding Queries,recommendations
"What is the average budget of movies in the ""Fantasy"" genre?",Pathfinding Queries,recommendations
List the movies released in the 2000s with an IMDB rating above 8.0.,Pathfinding Queries,recommendations
Which movies released in 1995 have an IMDb rating higher than 8.0?,Complex Aggregation Queries,recommendations
List the names of the directors who have also acted in movies.,Complex Aggregation Queries,recommendations
"What are the genres of the movie ""Toy Story""?",Complex Aggregation Queries,recommendations
Which actors have directed movies with a runtime longer than 150 minutes?,Complex Aggregation Queries,recommendations
Find the movies that have been rated by users with an average rating greater than 4.0.,Complex Aggregation Queries,recommendations
What is the average budget of movies released in the year 2000?,Complex Aggregation Queries,recommendations
List the actors born before 1900 who have acted in movies released after 2000.,Complex Aggregation Queries,recommendations
